TEAM #,TEAM NAME,2022 MP,2022 WINS,2022 LOSSES,2022 TIES,W/L,W/L ADJ
812,The Midnight Mechanics,14,6,8,0,0.75,0.75
867,Absolute Value,11,3,7,1,0.42857142857142855,0.5
968,RAWC (Robotics Alliance Of West Covina),48,15,33,0,0.45454545454545453,0.45454545454545453
987,HIGHROLLERS,48,36,11,1,3.272727272727273,3.3181818181818183
1160,Titanium Robotics,26,15,11,0,1.3636363636363635,1.3636363636363635
1538,The Holy Cows,43,29,14,0,2.0714285714285716,2.0714285714285716
1661,Griffitrons,39,19,20,0,0.95,0.95
1884,Griffins,14,6,8,0,0.75,0.75
2637,Phantom Catz,43,24,18,1,1.3333333333333333,1.3611111111111112
2839,Daedalus,21,10,11,0,0.9090909090909091,0.9090909090909091
3020,SMbld,25,15,10,0,1.5,1.5
3309,Friarbots,42,23,18,1,1.2777777777777777,1.3055555555555556
3476,Code Orange,50,43,6,1,7.166666666666667,7.25
3501,Firebots,28,12,15,1,0.8,0.8333333333333334
3882,Lunas,29,16,13,0,1.2307692307692308,1.2307692307692308
3952,Troy Robotics,27,13,13,1,1.0,1.0384615384615385
4014,Pixelators,23,8,14,1,0.5714285714285714,0.6071428571428571
4019,Mechanical Paradise,10,4,5,1,0.8,0.9
4079,Quantum Leap,27,11,16,0,0.6875,0.6875
4123,Tribe Robotics,16,5,11,0,0.45454545454545453,0.45454545454545453
4141,Monarch Robotics,11,2,9,0,0.2222222222222222,0.2222222222222222
4183,Bit Buckets,32,18,14,0,1.2857142857142858,1.2857142857142858
4276,Surf City Vikings,24,11,13,0,0.8461538461538461,0.8461538461538461
4322,Clockwork Oranges,27,12,14,1,0.8571428571428571,0.8928571428571429
4415,EPIC Robotz,65,48,14,3,3.4285714285714284,3.5357142857142856
4619,HawkBots,11,2,8,1,0.25,0.3125
4984,Bullseye,27,14,13,0,1.0769230769230769,1.0769230769230769
5025,Pacific Steel,21,6,15,0,0.4,0.4
5137,Iron Kodiaks,21,11,10,0,1.1,1.1
5199,Robot Dolphins From Outer Space,63,42,21,0,2.0,2.0
5461,Victorian Engineered Robotic Nation or V.E.R.N.,14,5,9,0,0.5555555555555556,0.5555555555555556
5805,SMbly Required,20,10,10,0,1.0,1.0
5835,Sage Hill Robotics,11,3,8,0,0.375,0.375
5857,Walnut Valley Robotics,11,5,5,1,1.0,1.1
6072,Triton Tech 6072,23,7,16,0,0.4375,0.4375
6220,The Golden Griffins,11,3,8,0,0.375,0.375
6499,Innovos Robotics,11,5,6,0,0.8333333333333334,0.8333333333333334
6560,Charging Champions,57,38,18,1,2.111111111111111,2.138888888888889
6695,Alpha Knights,9,2,6,1,0.3333333333333333,0.4166666666666667
7042,Poly Rabbotics,31,17,11,3,1.5454545454545454,1.6818181818181819
7137,Project 212,20,9,11,0,0.8181818181818182,0.8181818181818182
